City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,sinnamary,5.3833,-52.95,297.36,88,49,4.92,GF,1676765605
206,uvelskiy,54.4446,61.3574,247.73,100,99,2.32,RU,1676765609
207,zhanaozen,43.3,52.8,273.95,93,26,4.52,KZ,1676765610
208,kutum,14.2,24.6667,285.43,21,0,4.23,SD,1676765611
209,pierre,44.3683,-100.351,277.19,60,0,2.68,US,1676765611
210,shenjiamen,29.9576,122.298,282.61,87,100,7.73,CN,1676765612
211,cherskiy,68.75,161.3,238.34,91,100,1.54,RU,1676765613
212,pyay,18.8167,95.2167,293.69,65,0,1.16,MM,1676765617
213,rognan,67.0953,15.3878,273.23,85,95,3.16,NO,1676765618
214,eyl,7.9803,49.8164,295.02,78,7,6.61,SO,1676765618
215,provideniya,64.3833,-173.3,252.38,90,63,4.16,RU,1676765570
216,filotas,40.6333,21.7,282.11,64,40,1.92,GR,1676765619
217,vanimo,-2.6741,141.3028,299.68,85,100,0.91,PG,1676765620
218,luderitz,-26.6481,15.1594,289.54,90,0,4.66,NA,1676765621
219,lanjaghbyur,40.2715,45.1404,267.0,69,96,5.23,AM,1676765621
220,la ronge,55.1001,-105.2842,254.85,94,100,1.76,CA,1676765622
221,rawson,-43.3002,-65.1023,291.22,42,36,9.28,AR,1676765622
222,krasnoselkup,65.7,82.4667,259.03,93,100,2.3,RU,1676765623
223,bangar,16.8936,120.4243,298.71,63,100,1.21,PH,1676765623
224,itapirapua,-15.8233,-50.6133,296.76,92,100,1.93,BR,1676765624
225,flin flon,54.7682,-101.865,253.19,96,100,1.74,CA,1676765624
226,salinopolis,-0.6136,-47.3561,298.25,89,100,4.97,BR,1676765625
227,louis trichardt,-23.0439,29.9032,293.42,85,100,3.46,ZA,1676765625
228,iqaluit,63.7506,-68.5145,232.52,86,14,3.47,CA,1676765626
229,verin,41.9415,-7.4381,283.59,66,66,0.89,ES,1676765626
230,dashitou,43.3067,128.5114,263.29,84,98,4.32,CN,1676765626
231,naco,31.3347,-109.9483,291.37,32,0,5.44,MX,1676765627
232,kiruna,67.8557,20.2251,264.66,93,100,0.0,SE,1676765627
233,lagoa,39.05,-27.9833,287.44,82,29,4.39,PT,1676765628
234,ozernovskiy,51.5,156.5167,263.4,69,12,2.85,RU,1676765628
235,osecina,44.3731,19.6014,280.92,80,30,1.84,RS,1676765628
236,gat,31.61,34.7642,287.26,76,0,2.84,IL,1676765629
237,charagua,-19.8,-63.2167,287.63,48,100,2.31,BO,1676765629
238,turayf,31.6725,38.6637,280.08,38,0,3.0,SA,1676765630
239,east london,-33.0153,27.9116,294.34,85,55,0.94,ZA,1676765509
240,carnarvon,-24.8667,113.6333,298.64,71,0,8.4,AU,1676765630
241,bay roberts,47.5999,-53.2648,266.67,87,82,0.45,CA,1676765631
242,mandera,3.9366,41.867,298.84,31,72,3.44,KE,1676765631
243,taoudenni,22.6783,-3.9836,296.66,14,15,4.94,ML,1676765631
244,fuyu,45.1833,124.8167,262.17,71,68,4.14,CN,1676765632
245,saldanha,-33.0117,17.9442,290.69,86,0,5.23,ZA,1676765632
246,nadym,65.5333,72.5167,253.98,91,20,3.97,RU,1676765633
247,beaverlodge,55.2166,-119.4361,260.79,92,100,2.46,CA,1676765633
248,victoria,22.2855,114.1577,295.0,77,100,0.89,HK,1676765634
249,mehamn,71.0357,27.8492,272.1,86,40,3.6,NO,1676765634
250,poum,-20.2333,164.0167,299.42,68,41,3.46,NC,1676765635
251,kavaratti,10.5669,72.642,299.21,70,2,1.1,IN,1676765635
252,okhotsk,59.3833,143.3,248.93,76,2,4.87,RU,1676765635
253,caravelas,-17.7125,-39.2481,298.26,86,4,2.59,BR,1676765397
254,mindelo,16.8901,-24.9804,292.74,79,92,8.81,CV,1676765636
255,talikota,16.4833,76.3167,294.42,31,0,2.86,IN,1676765636
256,sabha,27.0377,14.4283,283.29,45,0,5.22,LY,1676765636
257,bathsheba,13.2167,-59.5167,298.49,73,20,8.23,BB,1676765637
258,nanortalik,60.1432,-45.2371,269.95,82,100,7.16,GL,1676765637
259,klaksvik,62.2266,-6.589,273.66,67,100,2.91,FO,1676765638
260,mlowo,-9.0,32.9833,288.17,92,100,1.3,TZ,1676765638
261,morros,-9.4467,-46.3003,295.97,84,41,0.33,BR,1676765638
262,debica,50.0515,21.4114,279.23,85,100,7.32,PL,1676765639
263,jinxiang,27.4327,120.6062,286.35,89,54,4.85,CN,1676765640
264,codrington,-38.2667,141.9667,294.96,50,3,3.36,AU,1676765640
265,pacifica,37.6138,-122.4869,291.89,56,75,1.54,US,1676765525
266,chateaubelair,13.2833,-61.25,297.65,75,18,6.9,VC,1676765641
267,baykit,61.67,96.37,247.62,100,97,0.21,RU,1676765641
268,altay,47.8667,88.1167,262.51,47,83,3.51,CN,1676765642
269,tual,-5.6667,132.75,299.68,85,100,8.17,ID,1676765643
270,umm lajj,25.0213,37.2685,295.27,46,98,3.95,SA,1676765644
271,vao,-22.6667,167.4833,297.61,64,99,6.09,NC,1676765646
272,nelson bay,-32.7167,152.15,300.37,81,93,0.89,AU,1676765648
273,general pico,-35.6566,-63.7568,290.22,14,1,4.05,AR,1676765593
274,ewa beach,21.3156,-158.0072,299.18,71,40,6.69,US,1676765581
275,baracoa,20.3467,-74.4958,297.75,74,21,6.33,CU,1676765651
276,leshukonskoye,64.8989,45.7622,260.28,95,97,3.04,RU,1676765652
277,lavrentiya,65.5833,-171.0,249.35,87,100,3.27,RU,1676765652
278,erlanger,39.0167,-84.6008,278.61,51,75,3.09,US,1676765653
279,kabo,7.6994,18.629,295.88,21,9,2.26,CF,1676765654
280,negombo,7.2083,79.8358,298.18,88,40,3.09,LK,1676765658
